property_type,surface_covered_in_m2,price_aprox_usd,state,lat,lon
house,180.0,105397.95,Quintana Roo,21.1545808,-86.8523054
apartment,70.0,91147.61,Distrito Federal,19.401456,-99.146787
house,65.0,19005.85,Distrito Federal,19.326115,-99.109844
apartment,54.0,47376.38,Distrito Federal,19.4045899,-99.0601489
apartment,84.0,258224.99,Distrito Federal,19.4169673,-99.1658498
house,269.0,102763.0,Quintana Roo,21.164824,-86.8327018
apartment,97.0,197574.31,Distrito Federal,19.400249,-99.177444
apartment,62.0,99530.03,Distrito Federal,19.4553585442,-99.1632923484
apartment,90.0,79556.59,Distrito Federal,19.440749,-99.141649
apartment,90.0,77141.75,Distrito Federal,19.484532,-99.207027
apartment,46.0,44730.82,Distrito Federal,19.410307,-99.065399
apartment,97.0,168596.74,Distrito Federal,19.379376,-99.165182
apartment,98.0,52686.48,Distrito Federal,19.389044,-99.179657
house,150.0,212482.27,Distrito Federal,19.274141,-99.166374
apartment,110.0,123813.23,Distrito Federal,19.478473,-99.120734
apartment,98.0,129655.0,Distrito Federal,19.469769,-99.157379
house,184.0,200208.63,Distrito Federal,19.2801195,-99.2137844
apartment,85.0,66455.88,Distrito Federal,19.452143,-99.181477
apartment,350.0,1350000.0,Distrito Federal,19.4011351582,-99.2554439631
house,2.0,97996.85,Distrito Federal,19.4510306354,-99.065538235
apartment,65.0,147557.13,Distrito Federal,19.3499358,-99.2906864
house,138.0,83211.68,Quintana Roo,20.6572413506,-87.094373703
apartment,287.0,283453.28,Distrito Federal,19.43475,-99.189814
apartment,74.0,154724.19,Distrito Federal,19.3807458,-99.1553016
house,350.0,289844.37,Quintana Roo,21.082655,-86.857162
apartment,351.0,79626.82,Distrito Federal,19.445742,-99.159469
apartment,64.0,94858.16,Distrito Federal,19.386551,-99.193708
apartment,64.0,76395.4,Distrito Federal,19.466822,-99.157379
apartment,63.0,108475.57,Distrito Federal,19.370501,-99.139389
apartment,150.0,180230.5,Distrito Federal,19.382986,-99.241837
apartment,203.0,197574.31,Quintana Roo,21.051662,-86.852967
house,1084.0,1577960.19,Distrito Federal,19.326543,-99.195963
house,100.0,26870.1,Distrito Federal,19.383948,-99.067884
house,368.0,403854.93,Distrito Federal,19.2707122505,-99.1396721452
house,144.0,76131.96,Distrito Federal,19.4548897,-99.0538781
apartment,10.0,52686.48,Distrito Federal,19.417028,-99.065176
apartment,75.0,31822.63,Distrito Federal,19.462425,-99.17654
apartment,302.0,55252.24,Distrito Federal,19.306092,-99.113431
house,80.0,179134.04,Distrito Federal,19.286214,-99.222026
apartment,105.0,106918.42,Distrito Federal,19.408904,-99.174556
apartment,498.0,1895989.0,Quintana Roo,21.0906563,-86.7717484
house,250.0,125393.83,Distrito Federal,19.337902,-99.236776
apartment,446.0,800000.0,Distrito Federal,19.390415,-99.254997
house,290.0,136405.3,Distrito Federal,19.353288,-99.244721
apartment,75.0,71126.75,Distrito Federal,19.474885,-99.188231
apartment,56.0,30716.22,Distrito Federal,19.36994,-99.007399
apartment,93.0,225450.73,Distrito Federal,19.358585,-99.185753
apartment,300.0,141683.33,Distrito Federal,19.337013,-99.197613
apartment,70.0,54899.31,Distrito Federal,19.379525,-99.188914
apartment,213.0,407919.0,Quintana Roo,21.1651106632,-86.8201701343
house,380.0,297678.63,Quintana Roo,21.1095243506,-86.8429112434
apartment,80.0,68070.93,Distrito Federal,19.400731,-99.125466
apartment,179.0,262177.41,Quintana Roo,21.1902642,-86.8198375
apartment,130.0,325000.0,Quintana Roo,20.2024604644,-87.4630379677
apartment,110.0,213430.86,Distrito Federal,19.4124708,-99.1717827
apartment,44.0,89830.45,Distrito Federal,19.3563182,-99.2882606
house,307.0,580970.32,Distrito Federal,19.371502,-99.232647
house,210.0,131747.44,Quintana Roo,21.1543341422,-86.8512002751
apartment,80.0,175231.55,Distrito Federal,19.428324,-99.176337
house,176.0,217506.23,Distrito Federal,19.272594,-99.137045
apartment,70.0,45837.24,Distrito Federal,19.480501,-99.178139
house,110.0,147522.15,Distrito Federal,19.472634,-99.197437
apartment,81.0,62170.05,Distrito Federal,23.634501,-102.552788
house,496.0,79822.08,Distrito Federal,19.352528,-99.217276
apartment,78.0,98523.72,Distrito Federal,19.402752,-99.098587
apartment,90.0,75375.18,Distrito Federal,19.465454,-99.162665
apartment,175.0,421591.82,Distrito Federal,19.4114169,-99.1739405
apartment,108.0,223970.65,Distrito Federal,19.3853063,-99.1521292
apartment,48.0,49419.92,Distrito Federal,19.414261,-99.104118
house,145.0,113302.8,Quintana Roo,20.6384345312,-87.0732097328
apartment,255.0,440942.03,Distrito Federal,19.443152,-99.202733
apartment,42.0,73761.07,Distrito Federal,19.364996,-99.241523
apartment,105.0,106918.42,Distrito Federal,19.408904,-99.174556
apartment,95.0,55268.12,Distrito Federal,19.290953,-99.124863
house,154.0,55162.74,Distrito Federal,19.336441,-99.010132
apartment,200.0,420000.0,Quintana Roo,21.1279956,-86.7644738
house,275.0,173865.39,Quintana Roo,21.129547,-86.817017
apartment,168.0,334559.17,Distrito Federal,19.3609784,-99.2084005
house,140.0,156779.46,Distrito Federal,19.2865191,-99.2283274
apartment,137.0,73761.07,Distrito Federal,19.418048,-99.158527
apartment,288.0,495463.43,Distrito Federal,19.443178,-99.20237
house,130.0,115462.42,Distrito Federal,19.281164,-99.20237
house,1200.0,3350000.0,Distrito Federal,19.4122137,-99.2153341
apartment,70.0,31875.32,Distrito Federal,19.405883,-99.183079
apartment,234.0,549000.0,Quintana Roo,21.116732,-86.768234
apartment,70.0,42823.57,Distrito Federal,19.471896,-99.224024
house,0.0,81664.04,Quintana Roo,21.139086,-86.84964
house,395.0,426861.72,Quintana Roo,20.6764114797,-87.0514203197
apartment,63.0,52698.97,Distrito Federal,19.309208,-99.171906
house,252.0,73778.56,Distrito Federal,19.354297,-98.9978448
house,260.0,260798.09,Distrito Federal,19.306892,-99.105556
apartment,60.0,47681.26,Distrito Federal,19.304501,-99.123121
apartment,75.0,157690.64,Distrito Federal,19.39365,-99.14769
apartment,64.0,241936.33,Distrito Federal,19.409369,-99.171906
apartment,75.0,66384.96,Distrito Federal,19.36269,-99.150565
apartment,150.0,252895.12,Distrito Federal,19.3392293,-99.2189838
house,682.0,1132759.4,Distrito Federal,19.395424,-99.258068
apartment,208.0,131716.2,Distrito Federal,19.464712,-99.124872
apartment,221.0,350000.0,Solidaridad,19.993998,-87.1875
apartment,51.0,89514.33,Distrito Federal,19.400097,-99.122093
apartment,97.0,165962.42,Distrito Federal,19.367025,-99.170349
apartment,75.0,76614.89,Distrito Federal,19.484532,-99.207027
apartment,65.0,69546.15,Distrito Federal,19.278198,-99.200831
house,300.0,94835.67,Quintana Roo,23.634501,-102.552788
house,450.0,231875.5,Distrito Federal,19.3972156,-99.0648632
apartment,74.0,38039.64,Distrito Federal,19.383251,-99.105499
apartment,75.0,52067.41,Distrito Federal,19.461871,-99.129227
apartment,60.0,74498.68,Distrito Federal,19.422398,-99.167129
apartment,164.0,289844.37,Distrito Federal,19.41498,-99.177444
apartment,39.0,85000.0,Quintana Roo,21.137383,-86.768717
apartment,63.0,106061.54,Distrito Federal,19.303736,-99.163605
house,200.0,131716.2,Quintana Roo,21.0958115744,-86.8690896034
apartment,75.0,39585.14,Distrito Federal,19.453513,-99.210223
house,120.0,86405.83,Quintana Roo,20.6140672951,-87.1172904968
house,198.0,173906.62,Distrito Federal,19.3661948918,-99.1211414337
apartment,120.0,180187.77,Distrito Federal,19.365766,-99.263112
apartment,50.0,34720.39,Distrito Federal,19.439037,-99.119514
house,600.0,1185727.0,Distrito Federal,19.4010793,-99.2480728
house,82.0,40683.61,Quintana Roo,21.139086,-86.84964
house,300.0,161220.64,Distrito Federal,19.367477,-99.222025
apartment,66.0,47417.83,Distrito Federal,19.384327,-99.215523
apartment,60.0,34720.39,Distrito Federal,19.317698,-99.061256
apartment,100.0,143342.37,Distrito Federal,19.422201,-99.159447
apartment,90.0,68508.67,Distrito Federal,19.503195,-99.206723
house,247.0,63238.77,Distrito Federal,19.364245,-99.302638
apartment,74.0,225498.15,Distrito Federal,19.405298,-99.164986
apartment,95.0,168636.73,Distrito Federal,19.3687777,-99.1897886
apartment,59.0,34246.21,Distrito Federal,19.524143,-99.160149
apartment,136.0,565500.0,Quintana Roo,20.6347622491,-87.0636034012
apartment,65.0,31717.26,Distrito Federal,19.325608,-99.06112
apartment,40.0,31225.54,Distrito Federal,19.457685,-99.121754
house,0.0,44794.13,Quintana Roo,21.129547,-86.817017
apartment,100.0,158059.45,Distrito Federal,19.3677299,-99.1527773
apartment,70.0,85668.22,Distrito Federal,19.332149,-99.244008
apartment,239.0,750000.0,Quintana Roo,21.1295101033,-86.7501325607
apartment,243.0,520522.86,Distrito Federal,19.420103,-99.171297
house,100.0,50315.59,Solidaridad,20.678161,-87.053842
house,148.0,79822.08,Distrito Federal,19.352528,-99.217276
house,320.0,168596.74,Distrito Federal,19.481972,-99.199944
apartment,70.0,49055.95,Quintana Roo,20.6542296048,-87.087635994
apartment,64.0,89567.02,Distrito Federal,19.410307,-99.065399
house,185.0,173906.62,Quintana Roo,21.100996554,-86.8623733521
apartment,200.0,390000.0,Quintana Roo,21.1295466,-86.8170132
apartment,540.0,66014.21,Distrito Federal,19.334351,-99.11442
apartment,112.0,255529.44,Distrito Federal,19.403489,-99.156312
house,204.0,98471.03,Distrito Federal,19.515999,-99.155679
apartment,60.0,54899.31,Distrito Federal,19.379109,-99.187689
house,619.0,2000000.0,Distrito Federal,19.3472426513,-99.1838417575
apartment,85.0,51632.75,Distrito Federal,19.452419,-99.175058
apartment,50.0,68492.42,Distrito Federal,19.287188,-99.170525
apartment,60.0,44203.95,Distrito Federal,19.475187,-99.175019
house,370.0,285628.46,Distrito Federal,19.508795,-99.125714
apartment,100.0,484715.65,Distrito Federal,19.438042,-99.188619
apartment,120.0,120652.04,Distrito Federal,19.367931,-99.170262
apartment,81.0,142253.5,Distrito Federal,19.367424,-99.185753
apartment,101.0,60589.45,Distrito Federal,19.314895,-99.09423
store,280.0,210795.91,Quintana Roo,21.1579193,-86.8238997
apartment,76.0,46469.47,Distrito Federal,19.273716,-99.186416
apartment,64.0,139968.48,Distrito Federal,19.365391,-99.18956
apartment,75.0,86827.32,Distrito Federal,19.396862,-99.172659
apartment,43.0,19030.83,Distrito Federal,19.346609,-99.072311
apartment,100.0,168596.74,Distrito Federal,23.634501,-102.552788
apartment,46.0,44730.82,Distrito Federal,19.410307,-99.065399
apartment,106.0,184446.42,Distrito Federal,19.3714480121,-99.149787426
house,294.0,151671.87,Distrito Federal,19.307933,-99.240102
house,250.0,152790.8,Distrito Federal,19.486041,-99.067297
apartment,350.0,625000.0,Distrito Federal,19.420166,-99.220367
house,235.0,205477.28,Distrito Federal,23.634501,-102.552788
apartment,69.0,54688.57,Distrito Federal,19.422243,-99.127305
house,200.0,158096.93,Quintana Roo,21.161908,-86.8515279
apartment,85.0,75375.18,Distrito Federal,19.469418,-99.164299
apartment,116.0,94673.92,Distrito Federal,19.387782,-99.186194
house,220.0,385000.0,Quintana Roo,20.613448043,-87.0964579575
apartment,60.0,310923.97,Distrito Federal,19.411472,-99.188522
house,300.0,150719.07,Distrito Federal,19.311361,-99.109672
apartment,213.0,458372.4,Distrito Federal,19.388965,-99.171897
apartment,400.0,1850000.0,Distrito Federal,19.396714267,-99.2374929786
apartment,53.0,60603.82,Distrito Federal,19.262049,-99.1138
apartment,70.0,60030.97,Distrito Federal,19.402944,-99.199727
apartment,330.0,995000.0,Distrito Federal,19.413143,-99.2305521
apartment,75.0,54372.45,Distrito Federal,19.379525,-99.188914
apartment,70.0,62433.48,Distrito Federal,19.346767,-99.123658
house,204.0,100104.31,Distrito Federal,19.515966,-99.15581
apartment,130.0,690000.0,Quintana Roo,21.1612887,-86.8397009
apartment,23.0,42096.5,Distrito Federal,19.451994,-99.128867
house,417.0,1028494.71,Distrito Federal,19.4326577,-99.1774462
house,103.0,65858.1,Quintana Roo,21.192402,-86.834587
apartment,55.0,68546.74,Distrito Federal,19.384808,-99.137496
house,325.0,342462.14,Distrito Federal,19.340202,-99.257774
apartment,75.0,139619.18,Distrito Federal,19.45337,-99.181695
house,52.0,26870.1,Distrito Federal,19.455979,-99.122144
house,128.0,76395.4,Benito Juárez,21.139086,-86.84964
apartment,63.0,168849.64,Distrito Federal,19.397397,-99.155802
apartment,62.0,117735.94,Distrito Federal,19.4306069,-99.0949899
apartment,97.0,167421.83,Distrito Federal,19.341894,-99.224525
house,270.0,144835.14,Distrito Federal,19.474582,-99.139835
house,175.0,150683.34,Distrito Federal,23.634501,-102.552788
apartment,80.0,76922.26,Distrito Federal,23.634501,-102.552788
apartment,250.0,720000.0,Distrito Federal,19.3929373,-99.2633141
apartment,50.0,38303.07,Distrito Federal,19.283388,-99.055038
apartment,100.0,168596.74,Distrito Federal,19.431629,-99.162762
apartment,235.0,426861.72,Distrito Federal,19.3864346,-99.1594925
apartment,115.0,175231.5,Distrito Federal,19.428324,-99.176337
apartment,350.0,1500000.0,Distrito Federal,19.371342,-99.253616
apartment,60.0,194986.21,Distrito Federal,19.4445115,-99.1895493
apartment,94.0,313484.57,Distrito Federal,19.429392,-99.181017
apartment,157.0,473816.51,Distrito Federal,19.394358,-99.177444
house,0.0,124369.58,Quintana Roo,20.6227211606,-87.0993175486
house,150.0,101263.42,Distrito Federal,19.358008,-99.127094
apartment,70.0,54688.57,Distrito Federal,19.456145,-99.201167
house,180.0,39524.23,Quintana Roo,21.161908,-86.8515279
apartment,0.0,73761.07,Distrito Federal,19.365156,-99.1138
apartment,48.0,47207.08,Distrito Federal,19.410307,-99.065399
apartment,110.0,94858.16,Distrito Federal,19.400785,-99.147419
apartment,137.0,326656.19,Distrito Federal,19.275206,-99.218292
apartment,0.0,71126.75,Distrito Federal,19.4535629028,-99.182510376
apartment,125.0,233851.71,Distrito Federal,19.394358,-99.177444
house,142.0,167582.75,Distrito Federal,19.2681974,-99.1307421
house,312.0,101158.04,Distrito Federal,19.444992,-99.108269
apartment,97.0,167421.83,Distrito Federal,19.341894,-99.224525
apartment,90.0,75815.85,Distrito Federal,19.334546,-99.207876
apartment,85.0,37201.39,Distrito Federal,19.370272,-99.149127
house,557.0,410954.57,Distrito Federal,19.417539,-99.136296
house,200.0,121178.91,Distrito Federal,19.516777,-99.160149
apartment,126.0,168596.74,Distrito Federal,19.437841,-99.220367
apartment,150.0,110667.85,Distrito Federal,19.48527,-99.200287
apartment,70.0,27198.6,Distrito Federal,19.307417,-99.125191
house,429.0,776086.39,Distrito Federal,19.357464,-99.207909
house,128.0,94067.67,Distrito Federal,19.492686,-99.097877
apartment,88.0,145000.0,Quintana Roo,20.6167183342,-87.0924425125
apartment,75.0,90058.74,Distrito Federal,19.384808,-99.155339
house,100.0,50727.6,Distrito Federal,19.397059,-99.184501
apartment,75.0,225498.15,Distrito Federal,19.409095,-99.163216
house,160.0,150683.34,Distrito Federal,19.300714,-99.12215
house,354.0,195466.85,Distrito Federal,19.275756,-99.207832
apartment,165.0,368892.84,Distrito Federal,19.4097609,-99.1686282
house,450.0,1500000.0,Quintana Roo,21.1117463016,-86.7666184902
apartment,51.0,68861.23,Distrito Federal,19.473415,-99.143539
house,12.0,116464.74,Distrito Federal,19.4669373,-99.1013994
apartment,147.0,439932.13,Distrito Federal,19.430132,-99.169144
house,0.0,658737.22,Distrito Federal,19.2831289,-99.2217537
house,431.0,342462.14,Distrito Federal,19.3073525,-99.1061901
apartment,180.0,263432.41,Quintana Roo,21.161908,-86.8515279
apartment,89.0,54952.0,Distrito Federal,19.44673,-99.161695
apartment,136.0,226605.6,Distrito Federal,19.394358,-99.177444
house,518.0,164645.26,Distrito Federal,19.337688,-99.059181
house,180.0,63223.78,Distrito Federal,19.364245,-99.302638
apartment,293.0,526864.83,Distrito Federal,19.354509,-99.149765
house,106.0,62606.38,Distrito Federal,19.469688,-99.085456
house,263.0,202842.96,Distrito Federal,19.28127,-99.132254
apartment,100.0,131747.44,Distrito Federal,19.3898619,-99.1674138
apartment,60.0,33930.09,Distrito Federal,19.302076,-99.049427
apartment,212.0,574282.67,Distrito Federal,19.392874,-99.264987
apartment,69.0,93255.07,Distrito Federal,19.472155,-99.161186
apartment,55.0,142253.5,Distrito Federal,19.372684,-99.183678
apartment,52.0,52100.61,Distrito Federal,19.456439,-99.144414
apartment,200.0,91147.61,Distrito Federal,19.401507,-99.14682
apartment,410.0,700000.0,Distrito Federal,19.390415,-99.254997
apartment,51.0,215000.0,Solidaridad,20.6295586,-87.0738851
apartment,33.0,130900.0,Solidaridad,20.623687,-87.083843
house,1200.0,3000000.0,Distrito Federal,19.320575,-99.20929
apartment,90.0,163328.09,Distrito Federal,19.368475,-99.17952
apartment,66.0,54829.08,Distrito Federal,19.368823,-99.224603
apartment,98.0,55333.92,Distrito Federal,19.3549174,-99.0993735
apartment,65.0,225504.19,Distrito Federal,19.358585,-99.185753
apartment,119.0,142287.24,Distrito Federal,19.3703820187,-99.1493282287
apartment,90.0,53158.13,Distrito Federal,19.395097,-99.150424
house,300.0,169123.61,Distrito Federal,19.365271,-99.232466
apartment,64.0,26870.1,Distrito Federal,19.320269,-99.055412
house,290.0,118572.7,Benito Juárez,21.1773896,-86.8179603
apartment,106.0,210745.93,Distrito Federal,19.367745,-99.180127
apartment,65.0,60589.45,Distrito Federal,19.468092,-99.088883
house,240.0,357214.36,Distrito Federal,19.338417,-99.156145
house,100.0,58771.77,Distrito Federal,19.325155,-99.088905
apartment,270.0,458372.4,Distrito Federal,19.3769448,-99.1651109
apartment,96.0,127400.0,Quintana Roo,20.630901,-87.069916
apartment,152.0,866400.0,Distrito Federal,19.432609,-99.1941739
house,700.0,1350000.0,Distrito Federal,19.402305,-99.240641
apartment,52.0,156444.61,Distrito Federal,19.405298,-99.164986
apartment,71.0,36889.28,Distrito Federal,19.2818221685,-99.1876426712
apartment,127.0,159640.04,Distrito Federal,19.391074,-99.165737
apartment,70.0,20582.81,Distrito Federal,19.418844,-99.132357
apartment,550.0,905000.0,Quintana Roo,21.161908,-86.8515279
apartment,184.0,1215000.0,Distrito Federal,19.4368736,-99.1973268
house,1600.0,9000000.0,Distrito Federal,19.3818873,-99.2202827
house,307.0,474178.35,Distrito Federal,19.358585,-99.185753
apartment,147.0,152827.03,Quintana Roo,21.161908,-86.8515279
apartment,85.0,230821.52,Distrito Federal,19.3943574,-99.1774462
apartment,70.0,33297.85,Distrito Federal,19.397649,-99.093087
apartment,68.0,169000.0,Quintana Roo,20.6369485603,-87.0677702129
apartment,53.0,55847.67,Distrito Federal,19.408805,-99.129702
apartment,220.0,263284.09,Quintana Roo,21.1517157163,-86.8185353279
house,350.0,242357.82,Distrito Federal,19.33923,-99.218987
apartment,57.0,94022.66,Distrito Federal,23.634501,-102.552788
apartment,80.0,163366.83,Distrito Federal,19.3499358,-99.2906864
apartment,75.0,46364.1,Distrito Federal,19.313878,-99.094271
apartment,110.0,263432.41,Distrito Federal,19.427922,-99.160613
apartment,60.0,51076.22,Distrito Federal,19.392025,-99.135302
apartment,90.0,90058.74,Distrito Federal,19.384808,-99.155339
house,289.0,167806.45,Distrito Federal,19.50772,-99.121305
store,50.0,128000.0,Quintana Roo,20.6148413173,-87.0929842048
apartment,75.0,46726.39,Distrito Federal,19.361114,-99.222666
house,200.0,167846.24,Distrito Federal,19.50772,-99.121305
apartment,60.0,105741.77,Distrito Federal,19.493973,-99.130394
apartment,100.0,163328.09,Distrito Federal,19.394073,-99.153915
apartment,110.0,332836.85,Distrito Federal,19.371342,-99.253616
apartment,65.0,104319.23,Distrito Federal,19.386852,-99.194748
house,210.0,81664.04,Distrito Federal,19.546144,-99.13029
apartment,168.0,892706.0,Distrito Federal,19.4330857,-99.2005645
apartment,103.0,50930.23,Distrito Federal,19.38499,-99.227853
house,330.0,209278.61,Distrito Federal,19.47517,-99.152534
apartment,330.0,368805.38,Distrito Federal,19.365528,-99.17952
apartment,125.0,139000.0,Solidaridad,20.630723,-87.073113
apartment,100.0,187081.37,Distrito Federal,19.3392293,-99.2189838
apartment,70.0,31927.95,Distrito Federal,19.490331,-99.207579
apartment,60.0,32314.35,Distrito Federal,19.3821,-99.204573
house,319.0,248757.12,Distrito Federal,19.411685,-99.166322
house,725.0,700730.23,Distrito Federal,19.5462484,-99.131088
house,920.0,1211789.12,Distrito Federal,19.405625,-99.237868
